InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales
501448,P001,Wireless Mouse,3,2023-01-04,15.99,10488,Italy,47.97
501449,P003,USB-C Cable,2,2023-10-30,9.99,10410,France,19.98
501450,P005,Webcam,5,2023-08-15,49.99,10140,United Kingdom,249.95000000000002
501451,P001,Wireless Mouse,1,2023-04-27,15.99,10463,Netherlands,15.99
501452,P001,Wireless Mouse,5,2023-10-29,15.99,10084,Switzerland,79.95
501453,P002,Mechanical Keyboard,4,2023-05-22,79.99,10197,Netherlands,319.96
501454,P001,Wireless Mouse,4,2023-02-08,15.99,10345,Switzerland,63.96
501455,P008,Bluetooth Speaker,1,2023-12-21,39.99,10426,Spain,39.99
501456,P007,Portable SSD,4,2023-11-29,99.99,10361,Netherlands,399.96
501457,P005,Webcam,2,2023-04-25,49.99,10460,United Kingdom,99.98
501458,P005,Webcam,1,2023-05-14,49.99,10195,Italy,49.99
501459,P006,Noise Cancelling Headphones,3,2023-08-07,129.99,10170,United Kingdom,389.97
501460,P004,Laptop Stand,3,2023-04-01,29.99,10184,France,89.97
501461,P008,Bluetooth Speaker,2,2023-02-15,39.99,10058,Netherlands,79.98
501462,P008,Bluetooth Speaker,4,2023-11-24,39.99,10427,Belgium,159.96
501463,P002,Mechanical Keyboard,3,2023-05-27,79.99,10377,Germany,239.96999999999997
501464,P006,Noise Cancelling Headphones,3,2023-03-25,129.99,10119,Italy,389.97
501465,P008,Bluetooth Speaker,1,2023-10-08,39.99,10276,Spain,39.99
501466,P004,Laptop Stand,2,2023-04-12,29.99,10036,Belgium,59.98
501467,P002,Mechanical Keyboard,1,2023-03-24,79.99,10482,Spain,79.99
501468,P004,Laptop Stand,3,2023-10-02,29.99,10003,Germany,89.97
501469,P001,Wireless Mouse,1,2023-10-11,15.99,10008,Belgium,15.99
501470,P006,Noise Cancelling Headphones,4,2023-06-22,129.99,10117,France,519.96
501471,P004,Laptop Stand,1,2023-09-08,29.99,10105,Spain,29.99
501472,P002,Mechanical Keyboard,4,2023-05-01,79.99,10390,Spain,319.96
501473,P005,Webcam,4,2023-10-02,49.99,10091,Switzerland,199.96
501474,P003,USB-C Cable,4,2023-04-30,9.99,10406,United Kingdom,39.96
501475,P007,Portable SSD,5,2023-11-13,99.99,10015,Germany,499.95
501476,P005,Webcam,4,2023-10-13,49.99,10119,Spain,199.96
501477,P006,Noise Cancelling Headphones,1,2023-11-16,129.99,10348,Germany,129.99
501478,P002,Mechanical Keyboard,1,2023-11-04,79.99,10057,France,79.99
501479,P002,Mechanical Keyboard,1,2023-05-22,79.99,10360,Spain,79.99
501480,P004,Laptop Stand,3,2023-11-05,29.99,10374,United Kingdom,89.97
501481,P004,Laptop Stand,3,2023-11-30,29.99,10333,Switzerland,89.97
501482,P003,USB-C Cable,1,2023-07-15,9.99,10059,Netherlands,9.99
501483,P005,Webcam,3,2023-03-09,49.99,10281,Germany,149.97
501484,P005,Webcam,4,2023-09-21,49.99,10298,Netherlands,199.96
501485,P001,Wireless Mouse,2,2023-12-27,15.99,10003,France,31.98
501486,P004,Laptop Stand,5,2023-04-20,29.99,10258,Italy,149.95
501487,P006,Noise Cancelling Headphones,1,2023-04-30,129.99,10343,France,129.99
501488,P005,Webcam,5,2023-03-03,49.99,10172,France,249.95000000000002
501489,P005,Webcam,1,2023-06-07,49.99,10141,France,49.99
501490,P007,Portable SSD,4,2023-02-04,99.99,10119,Germany,399.96
501491,P005,Webcam,3,2023-03-05,49.99,10080,United Kingdom,149.97
501492,P003,USB-C Cable,2,2023-09-12,9.99,10131,Spain,19.98
501493,P002,Mechanical Keyboard,5,2023-11-21,79.99,10022,Netherlands,399.95
501494,P002,Mechanical Keyboard,4,2023-12-23,79.99,10275,Spain,319.96
501495,P001,Wireless Mouse,3,2023-06-21,15.99,10293,Switzerland,47.97
501496,P003,USB-C Cable,1,2023-07-20,9.99,10396,Italy,9.99
501497,P003,USB-C Cable,5,2023-11-20,9.99,10050,United Kingdom,49.95
501498,P003,USB-C Cable,3,2023-08-04,9.99,10377,Spain,29.97
501499,P006,Noise Cancelling Headphones,1,2023-01-08,129.99,10028,France,129.99
501500,P005,Webcam,5,2023-12-09,49.99,10174,Switzerland,249.95000000000002
501501,P007,Portable SSD,4,2023-03-17,99.99,10327,Switzerland,399.96
501502,P001,Wireless Mouse,1,2023-05-27,15.99,10266,Netherlands,15.99
501503,P002,Mechanical Keyboard,2,2023-11-04,79.99,10111,Spain,159.98
501504,P004,Laptop Stand,5,2023-08-20,29.99,10139,France,149.95
501505,P004,Laptop Stand,5,2023-11-03,29.99,10170,United Kingdom,149.95
501506,P005,Webcam,4,2023-06-06,49.99,10323,Switzerland,199.96
501507,P006,Noise Cancelling Headphones,3,2023-05-12,129.99,10338,Switzerland,389.97
501508,P005,Webcam,4,2023-01-28,49.99,10024,Switzerland,199.96
501509,P005,Webcam,4,2023-03-17,49.99,10217,Spain,199.96
501510,P001,Wireless Mouse,5,2023-03-08,15.99,10453,Switzerland,79.95
501511,P008,Bluetooth Speaker,4,2023-07-13,39.99,10108,Netherlands,159.96
501512,P007,Portable SSD,2,2023-12-13,99.99,10441,Belgium,199.98
501513,P007,Portable SSD,1,2023-09-14,99.99,10244,Netherlands,99.99
501514,P008,Bluetooth Speaker,1,2023-07-29,39.99,10270,United Kingdom,39.99
501515,P004,Laptop Stand,1,2023-03-02,29.99,10460,Switzerland,29.99
501516,P001,Wireless Mouse,4,2023-09-19,15.99,10209,Switzerland,63.96
501517,P007,Portable SSD,2,2023-10-10,99.99,10307,Italy,199.98
501518,P002,Mechanical Keyboard,3,2023-12-28,79.99,10159,Italy,239.96999999999997
501519,P001,Wireless Mouse,1,2023-04-03,15.99,10223,Germany,15.99
501520,P007,Portable SSD,5,2023-08-29,99.99,10000,United Kingdom,499.95
501521,P001,Wireless Mouse,3,2023-05-22,15.99,10397,France,47.97
501522,P001,Wireless Mouse,3,2023-08-25,15.99,10031,France,47.97
501523,P007,Portable SSD,4,2023-11-08,99.99,10334,Spain,399.96
501524,P008,Bluetooth Speaker,1,2023-05-21,39.99,10327,Netherlands,39.99
501525,P001,Wireless Mouse,5,2023-02-18,15.99,10259,Italy,79.95
501526,P005,Webcam,1,2023-07-09,49.99,10052,Germany,49.99
501527,P003,USB-C Cable,3,2023-12-19,9.99,10030,Spain,29.97
501528,P007,Portable SSD,2,2023-10-22,99.99,10232,Italy,199.98
501529,P002,Mechanical Keyboard,5,2023-09-02,79.99,10259,Netherlands,399.95
501530,P002,Mechanical Keyboard,1,2023-07-11,79.99,10014,United Kingdom,79.99
501531,P001,Wireless Mouse,2,2023-12-29,15.99,10372,Belgium,31.98
501532,P006,Noise Cancelling Headphones,1,2023-09-22,129.99,10378,United Kingdom,129.99
501533,P007,Portable SSD,5,2023-11-01,99.99,10272,Netherlands,499.95
501534,P006,Noise Cancelling Headphones,1,2023-01-17,129.99,10057,Netherlands,129.99
501535,P006,Noise Cancelling Headphones,5,2023-11-03,129.99,10209,France,649.95
501536,P004,Laptop Stand,3,2023-07-02,29.99,10449,United Kingdom,89.97
501537,P002,Mechanical Keyboard,1,2023-02-08,79.99,10479,France,79.99
501538,P005,Webcam,5,2023-07-11,49.99,10086,France,249.95000000000002
501539,P001,Wireless Mouse,3,2023-05-27,15.99,10101,United Kingdom,47.97
501540,P008,Bluetooth Speaker,3,2023-11-29,39.99,10348,Netherlands,119.97
501541,P001,Wireless Mouse,5,2023-01-01,15.99,10329,Switzerland,79.95
501542,P008,Bluetooth Speaker,4,2023-01-19,39.99,10216,Spain,159.96
501543,P003,USB-C Cable,4,2023-03-13,9.99,10010,Spain,39.96
501544,P002,Mechanical Keyboard,5,2023-04-19,79.99,10061,Italy,399.95
501545,P001,Wireless Mouse,4,2023-08-28,15.99,10258,United Kingdom,63.96
501546,P006,Noise Cancelling Headphones,1,2023-10-28,129.99,10043,Switzerland,129.99
501547,P004,Laptop Stand,2,2023-04-13,29.99,10188,Belgium,59.98
501548,P001,Wireless Mouse,4,2023-09-07,15.99,10331,Germany,63.96
501549,P002,Mechanical Keyboard,5,2023-01-08,79.99,10440,France,399.95
501550,P008,Bluetooth Speaker,1,2023-12-13,39.99,10365,Switzerland,39.99
501551,P001,Wireless Mouse,5,2023-08-03,15.99,10250,Netherlands,79.95
501552,P004,Laptop Stand,1,2023-06-24,29.99,10122,United Kingdom,29.99
501553,P006,Noise Cancelling Headphones,4,2023-12-04,129.99,10274,United Kingdom,519.96
501554,P007,Portable SSD,2,2023-11-20,99.99,10210,United Kingdom,199.98
501555,P008,Bluetooth Speaker,1,2023-05-07,39.99,10308,France,39.99
501556,P004,Laptop Stand,4,2023-03-23,29.99,10197,United Kingdom,119.96
501557,P004,Laptop Stand,5,2023-05-27,29.99,10179,Germany,149.95
501558,P004,Laptop Stand,4,2023-03-25,29.99,10238,France,119.96
501559,P005,Webcam,1,2023-08-13,49.99,10445,Netherlands,49.99
501560,P006,Noise Cancelling Headphones,4,2023-08-31,129.99,10240,France,519.96
501561,P001,Wireless Mouse,1,2023-09-15,15.99,10260,Switzerland,15.99
501562,P001,Wireless Mouse,5,2023-04-15,15.99,10431,France,79.95
501563,P002,Mechanical Keyboard,2,2023-11-03,79.99,10214,Belgium,159.98
501564,P007,Portable SSD,3,2023-09-23,99.99,10053,Spain,299.96999999999997
501565,P004,Laptop Stand,2,2023-02-20,29.99,10165,Switzerland,59.98
501566,P004,Laptop Stand,1,2023-02-08,29.99,10407,Germany,29.99
501567,P005,Webcam,4,2023-09-16,49.99,10008,Switzerland,199.96
501568,P005,Webcam,4,2023-06-04,49.99,10431,Belgium,199.96
501569,P005,Webcam,5,2023-01-02,49.99,10360,United Kingdom,249.95000000000002
501570,P005,Webcam,5,2023-06-15,49.99,10065,Switzerland,249.95000000000002
501571,P007,Portable SSD,3,2023-12-16,99.99,10152,Spain,299.96999999999997
501572,P006,Noise Cancelling Headphones,2,2023-03-22,129.99,10440,Netherlands,259.98
501573,P001,Wireless Mouse,1,2023-09-25,15.99,10358,Belgium,15.99
501574,P002,Mechanical Keyboard,3,2023-08-23,79.99,10254,Spain,239.96999999999997
501575,P007,Portable SSD,1,2023-11-07,99.99,10189,France,99.99
501576,P005,Webcam,5,2023-12-23,49.99,10108,Belgium,249.95000000000002
501577,P004,Laptop Stand,5,2023-03-03,29.99,10282,Germany,149.95
501578,P005,Webcam,1,2023-05-07,49.99,10226,Switzerland,49.99
501579,P005,Webcam,1,2023-10-06,49.99,10169,Belgium,49.99
501580,P004,Laptop Stand,1,2023-10-21,29.99,10362,Germany,29.99
501581,P007,Portable SSD,4,2023-10-04,99.99,10383,Netherlands,399.96
501582,P008,Bluetooth Speaker,3,2023-05-26,39.99,10182,Belgium,119.97
501583,P001,Wireless Mouse,4,2023-04-09,15.99,10325,Spain,63.96
501584,P004,Laptop Stand,5,2023-03-14,29.99,10001,Spain,149.95
501585,P007,Portable SSD,5,2023-05-02,99.99,10171,Italy,499.95
501586,P002,Mechanical Keyboard,4,2023-12-30,79.99,10367,Germany,319.96
501587,P008,Bluetooth Speaker,2,2023-10-15,39.99,10254,Italy,79.98
501588,P008,Bluetooth Speaker,3,2023-07-14,39.99,10409,Belgium,119.97
501589,P008,Bluetooth Speaker,4,2023-06-21,39.99,10472,Switzerland,159.96
501590,P001,Wireless Mouse,1,2023-03-04,15.99,10187,Italy,15.99
501591,P001,Wireless Mouse,3,2023-02-17,15.99,10039,Netherlands,47.97
501592,P007,Portable SSD,2,2023-11-09,99.99,10218,Spain,199.98
501593,P005,Webcam,4,2023-06-16,49.99,10060,Spain,199.96
501594,P002,Mechanical Keyboard,2,2023-06-05,79.99,10355,Germany,159.98
501595,P006,Noise Cancelling Headphones,5,2023-01-07,129.99,10308,United Kingdom,649.95
501596,P002,Mechanical Keyboard,4,2023-02-25,79.99,10371,Germany,319.96
501597,P002,Mechanical Keyboard,1,2023-07-12,79.99,10094,Switzerland,79.99
501598,P005,Webcam,4,2023-10-02,49.99,10285,France,199.96
501599,P008,Bluetooth Speaker,5,2023-07-21,39.99,10422,Netherlands,199.95000000000002
501600,P002,Mechanical Keyboard,4,2023-05-06,79.99,10431,United Kingdom,319.96
501601,P005,Webcam,3,2023-11-01,49.99,10447,Netherlands,149.97
501602,P006,Noise Cancelling Headphones,1,2023-10-21,129.99,10225,United Kingdom,129.99
501603,P002,Mechanical Keyboard,5,2023-06-25,79.99,10015,Belgium,399.95
501604,P003,USB-C Cable,4,2023-07-23,9.99,10290,Netherlands,39.96
501605,P007,Portable SSD,1,2023-01-31,99.99,10464,Belgium,99.99
501606,P004,Laptop Stand,4,2023-04-23,29.99,10096,Switzerland,119.96
501607,P001,Wireless Mouse,5,2023-11-21,15.99,10062,Belgium,79.95
501608,P003,USB-C Cable,3,2023-03-08,9.99,10435,Germany,29.97
501609,P002,Mechanical Keyboard,3,2023-02-14,79.99,10343,Italy,239.96999999999997
501610,P006,Noise Cancelling Headphones,4,2023-06-03,129.99,10066,Spain,519.96
501611,P002,Mechanical Keyboard,3,2023-12-29,79.99,10414,United Kingdom,239.96999999999997
501612,P008,Bluetooth Speaker,3,2023-08-22,39.99,10007,France,119.97
501613,P002,Mechanical Keyboard,3,2023-11-02,79.99,10326,France,239.96999999999997
501614,P007,Portable SSD,3,2023-05-05,99.99,10328,Italy,299.96999999999997
501615,P006,Noise Cancelling Headphones,5,2023-01-30,129.99,10116,France,649.95
501616,P008,Bluetooth Speaker,2,2023-05-02,39.99,10387,Netherlands,79.98
501617,P002,Mechanical Keyboard,5,2023-02-06,79.99,10295,Switzerland,399.95
501618,P007,Portable SSD,2,2023-05-04,99.99,10056,Italy,199.98
501619,P007,Portable SSD,5,2023-02-04,99.99,10449,Germany,499.95
501620,P004,Laptop Stand,4,2023-10-01,29.99,10243,Italy,119.96
501621,P001,Wireless Mouse,4,2023-07-20,15.99,10196,France,63.96
501622,P002,Mechanical Keyboard,1,2023-10-12,79.99,10153,Italy,79.99
501623,P001,Wireless Mouse,5,2023-02-28,15.99,10219,France,79.95
501624,P008,Bluetooth Speaker,4,2023-04-19,39.99,10492,Spain,159.96
501625,P007,Portable SSD,4,2023-03-10,99.99,10254,Italy,399.96
501626,P004,Laptop Stand,5,2023-11-01,29.99,10290,Belgium,149.95
501627,P004,Laptop Stand,5,2023-06-11,29.99,10397,Spain,149.95
501628,P004,Laptop Stand,5,2023-12-08,29.99,10108,France,149.95
501629,P006,Noise Cancelling Headphones,5,2023-12-09,129.99,10105,Switzerland,649.95
501630,P008,Bluetooth Speaker,3,2023-02-11,39.99,10256,Germany,119.97
501631,P002,Mechanical Keyboard,2,2023-04-19,79.99,10131,Netherlands,159.98
501632,P008,Bluetooth Speaker,3,2023-09-07,39.99,10196,Netherlands,119.97
501633,P007,Portable SSD,1,2023-12-07,99.99,10089,France,99.99
501634,P001,Wireless Mouse,4,2023-01-21,15.99,10464,Switzerland,63.96
501635,P005,Webcam,4,2023-05-19,49.99,10389,Switzerland,199.96
501636,P007,Portable SSD,4,2023-04-02,99.99,10133,Switzerland,399.96
501637,P002,Mechanical Keyboard,5,2023-04-21,79.99,10437,Netherlands,399.95
501638,P001,Wireless Mouse,2,2023-05-19,15.99,10071,France,31.98
501639,P006,Noise Cancelling Headphones,4,2023-09-30,129.99,10176,Netherlands,519.96
501640,P005,Webcam,3,2023-09-09,49.99,10408,Germany,149.97
501641,P004,Laptop Stand,2,2023-04-14,29.99,10328,France,59.98
501642,P006,Noise Cancelling Headphones,1,2023-06-01,129.99,10469,Netherlands,129.99
501643,P005,Webcam,2,2023-10-02,49.99,10288,Belgium,99.98
501644,P006,Noise Cancelling Headphones,5,2023-12-07,129.99,10407,Netherlands,649.95
501645,P007,Portable SSD,4,2023-01-05,99.99,10453,Italy,399.96
501646,P001,Wireless Mouse,1,2023-04-11,15.99,10122,Switzerland,15.99
501647,P002,Mechanical Keyboard,4,2023-05-27,79.99,10392,Netherlands,319.96
501648,P007,Portable SSD,3,2023-04-27,99.99,10185,Italy,299.96999999999997
501649,P005,Webcam,2,2023-09-24,49.99,10001,Italy,99.98
501650,P006,Noise Cancelling Headphones,5,2023-02-16,129.99,10188,United Kingdom,649.95
501651,P008,Bluetooth Speaker,4,2023-09-03,39.99,10324,Germany,159.96
501652,P008,Bluetooth Speaker,5,2023-09-03,39.99,10112,Germany,199.95000000000002
501653,P001,Wireless Mouse,3,2023-01-05,15.99,10111,Netherlands,47.97
501654,P003,USB-C Cable,1,2023-07-03,9.99,10112,Germany,9.99
501655,P003,USB-C Cable,4,2023-02-15,9.99,10445,Netherlands,39.96
501656,P003,USB-C Cable,2,2023-01-12,9.99,10116,France,19.98
501657,P002,Mechanical Keyboard,1,2023-05-27,79.99,10315,Switzerland,79.99
501658,P002,Mechanical Keyboard,2,2023-10-31,79.99,10013,Spain,159.98
501659,P007,Portable SSD,4,2023-08-24,99.99,10345,Spain,399.96
501660,P003,USB-C Cable,4,2023-12-18,9.99,10474,United Kingdom,39.96
501661,P001,Wireless Mouse,2,2023-08-16,15.99,10302,Italy,31.98
501662,P007,Portable SSD,3,2023-08-04,99.99,10076,France,299.96999999999997
501663,P001,Wireless Mouse,3,2023-07-22,15.99,10298,Germany,47.97
501664,P003,USB-C Cable,1,2023-08-30,9.99,10044,Italy,9.99
501665,P005,Webcam,1,2023-06-28,49.99,10430,Belgium,49.99
501666,P004,Laptop Stand,5,2023-08-07,29.99,10209,Italy,149.95
501667,P002,Mechanical Keyboard,2,2023-04-02,79.99,10253,Switzerland,159.98
501668,P003,USB-C Cable,3,2023-06-24,9.99,10025,Switzerland,29.97
501669,P008,Bluetooth Speaker,4,2023-12-31,39.99,10141,Belgium,159.96
501670,P001,Wireless Mouse,3,2023-02-17,15.99,10493,Netherlands,47.97
501671,P008,Bluetooth Speaker,1,2023-11-24,39.99,10372,France,39.99
501672,P004,Laptop Stand,4,2023-12-03,29.99,10061,Netherlands,119.96
501673,P006,Noise Cancelling Headphones,1,2023-08-13,129.99,10248,Belgium,129.99
501674,P005,Webcam,3,2023-03-04,49.99,10342,Netherlands,149.97
501675,P001,Wireless Mouse,3,2023-11-21,15.99,10486,France,47.97
501676,P004,Laptop Stand,5,2023-07-08,29.99,10105,France,149.95
501677,P001,Wireless Mouse,2,2023-01-22,15.99,10103,Spain,31.98
501678,P008,Bluetooth Speaker,5,2023-08-02,39.99,10149,Belgium,199.95000000000002
501679,P005,Webcam,3,2023-11-19,49.99,10027,Spain,149.97
501680,P002,Mechanical Keyboard,2,2023-10-25,79.99,10237,Spain,159.98
501681,P004,Laptop Stand,5,2023-07-23,29.99,10151,Belgium,149.95
501682,P005,Webcam,2,2023-06-18,49.99,10469,Belgium,99.98
501683,P008,Bluetooth Speaker,3,2023-07-03,39.99,10020,United Kingdom,119.97
501684,P004,Laptop Stand,1,2023-08-10,29.99,10442,France,29.99
501685,P008,Bluetooth Speaker,3,2023-01-19,39.99,10300,Spain,119.97
501686,P002,Mechanical Keyboard,2,2023-09-21,79.99,10465,Belgium,159.98
501687,P005,Webcam,2,2023-04-23,49.99,10034,United Kingdom,99.98
501688,P004,Laptop Stand,3,2023-03-06,29.99,10457,Switzerland,89.97
501689,P003,USB-C Cable,4,2023-01-25,9.99,10476,Italy,39.96
501690,P007,Portable SSD,5,2023-01-01,99.99,10278,Belgium,499.95
501691,P004,Laptop Stand,5,2023-05-21,29.99,10167,Germany,149.95
501692,P003,USB-C Cable,5,2023-07-07,9.99,10328,United Kingdom,49.95
501693,P001,Wireless Mouse,1,2023-05-07,15.99,10230,Germany,15.99
501694,P002,Mechanical Keyboard,1,2023-06-13,79.99,10198,Belgium,79.99
501695,P004,Laptop Stand,3,2023-07-13,29.99,10422,Netherlands,89.97
501696,P008,Bluetooth Speaker,1,2023-10-17,39.99,10204,Italy,39.99
501697,P003,USB-C Cable,4,2023-12-24,9.99,10475,France,39.96
501698,P006,Noise Cancelling Headphones,3,2023-12-21,129.99,10243,Spain,389.97
501699,P007,Portable SSD,3,2023-07-07,99.99,10412,Belgium,299.96999999999997
501700,P004,Laptop Stand,5,2023-06-22,29.99,10079,Spain,149.95
501701,P001,Wireless Mouse,2,2023-02-14,15.99,10147,Belgium,31.98
501702,P007,Portable SSD,5,2023-03-24,99.99,10208,United Kingdom,499.95
501703,P008,Bluetooth Speaker,3,2023-12-24,39.99,10170,Spain,119.97
501704,P008,Bluetooth Speaker,2,2023-05-25,39.99,10176,Switzerland,79.98
501705,P008,Bluetooth Speaker,2,2023-08-22,39.99,10467,United Kingdom,79.98
501706,P003,USB-C Cable,4,2023-05-24,9.99,10042,Belgium,39.96
501707,P008,Bluetooth Speaker,4,2023-11-18,39.99,10173,Switzerland,159.96
501708,P002,Mechanical Keyboard,2,2023-01-13,79.99,10333,Italy,159.98
501709,P001,Wireless Mouse,4,2023-10-17,15.99,10379,United Kingdom,63.96
501710,P006,Noise Cancelling Headphones,3,2023-08-03,129.99,10445,Switzerland,389.97
501711,P006,Noise Cancelling Headphones,3,2023-04-28,129.99,10079,Belgium,389.97
501712,P006,Noise Cancelling Headphones,5,2023-08-19,129.99,10183,Germany,649.95
501713,P003,USB-C Cable,5,2023-10-22,9.99,10009,Italy,49.95
501714,P001,Wireless Mouse,1,2023-08-21,15.99,10195,Italy,15.99
501715,P004,Laptop Stand,5,2023-09-26,29.99,10179,Belgium,149.95
501716,P003,USB-C Cable,5,2023-02-22,9.99,10327,Italy,49.95
501717,P005,Webcam,3,2023-11-09,49.99,10307,Italy,149.97
501718,P008,Bluetooth Speaker,1,2023-08-02,39.99,10433,France,39.99
501719,P005,Webcam,1,2023-07-02,49.99,10318,Netherlands,49.99
501720,P008,Bluetooth Speaker,2,2023-01-10,39.99,10014,Spain,79.98
501721,P007,Portable SSD,4,2023-02-23,99.99,10467,France,399.96
501722,P004,Laptop Stand,4,2023-05-28,29.99,10206,Spain,119.96
501723,P005,Webcam,2,2023-01-14,49.99,10170,Spain,99.98
501724,P002,Mechanical Keyboard,2,2023-02-22,79.99,10072,Belgium,159.98
501725,P006,Noise Cancelling Headphones,4,2023-07-24,129.99,10409,Netherlands,519.96
501726,P005,Webcam,3,2023-09-21,49.99,10437,Spain,149.97
501727,P001,Wireless Mouse,2,2023-01-12,15.99,10271,Belgium,31.98
501728,P001,Wireless Mouse,2,2023-12-04,15.99,10027,United Kingdom,31.98
501729,P008,Bluetooth Speaker,2,2023-05-07,39.99,10438,Italy,79.98
501730,P003,USB-C Cable,3,2023-12-27,9.99,10293,United Kingdom,29.97
501731,P005,Webcam,4,2023-02-18,49.99,10498,Germany,199.96
501732,P007,Portable SSD,1,2023-08-29,99.99,10271,Switzerland,99.99
501733,P005,Webcam,2,2023-12-15,49.99,10361,United Kingdom,99.98
501734,P004,Laptop Stand,2,2023-10-01,29.99,10398,Italy,59.98
501735,P003,USB-C Cable,1,2023-12-09,9.99,10109,Netherlands,9.99
501736,P003,USB-C Cable,2,2023-09-21,9.99,10068,France,19.98
501737,P008,Bluetooth Speaker,1,2023-11-21,39.99,10241,France,39.99
501738,P007,Portable SSD,4,2023-11-16,99.99,10191,Germany,399.96
501739,P003,USB-C Cable,5,2023-06-05,9.99,10447,Germany,49.95
501740,P003,USB-C Cable,3,2023-05-01,9.99,10145,Spain,29.97
501741,P005,Webcam,1,2023-04-17,49.99,10325,United Kingdom,49.99
501742,P004,Laptop Stand,3,2023-05-17,29.99,10331,Spain,89.97
501743,P002,Mechanical Keyboard,3,2023-06-11,79.99,10243,United Kingdom,239.96999999999997
501744,P003,USB-C Cable,4,2023-04-10,9.99,10217,Spain,39.96
501745,P003,USB-C Cable,2,2023-11-03,9.99,10296,Netherlands,19.98
501746,P002,Mechanical Keyboard,5,2023-03-24,79.99,10314,United Kingdom,399.95
501747,P001,Wireless Mouse,1,2023-07-17,15.99,10304,Spain,15.99
501748,P002,Mechanical Keyboard,4,2023-06-28,79.99,10480,Switzerland,319.96
501749,P004,Laptop Stand,5,2023-07-05,29.99,10141,Netherlands,149.95
501750,P005,Webcam,2,2023-11-12,49.99,10378,France,99.98
501751,P002,Mechanical Keyboard,3,2023-08-05,79.99,10250,Belgium,239.96999999999997
501752,P002,Mechanical Keyboard,2,2023-06-24,79.99,10385,United Kingdom,159.98
501753,P001,Wireless Mouse,5,2023-08-23,15.99,10054,Switzerland,79.95
501754,P002,Mechanical Keyboard,5,2023-04-11,79.99,10381,France,399.95
501755,P004,Laptop Stand,1,2023-01-24,29.99,10175,Germany,29.99
501756,P005,Webcam,4,2023-01-11,49.99,10373,Italy,199.96
501757,P008,Bluetooth Speaker,1,2023-10-08,39.99,10051,Netherlands,39.99
501758,P001,Wireless Mouse,1,2023-01-21,15.99,10416,Switzerland,15.99
501759,P004,Laptop Stand,4,2023-07-30,29.99,10256,Spain,119.96
501760,P003,USB-C Cable,4,2023-10-20,9.99,10464,Germany,39.96
501761,P004,Laptop Stand,2,2023-04-11,29.99,10043,Italy,59.98
501762,P007,Portable SSD,4,2023-02-10,99.99,10355,Netherlands,399.96
501763,P001,Wireless Mouse,3,2023-10-30,15.99,10143,Italy,47.97
501764,P008,Bluetooth Speaker,2,2023-09-13,39.99,10477,Italy,79.98
501765,P001,Wireless Mouse,3,2023-08-24,15.99,10137,Belgium,47.97
501766,P005,Webcam,1,2023-01-13,49.99,10017,Italy,49.99
501767,P007,Portable SSD,2,2023-08-17,99.99,10313,France,199.98
501768,P007,Portable SSD,5,2023-04-10,99.99,10071,United Kingdom,499.95
501769,P007,Portable SSD,2,2023-01-16,99.99,10372,Switzerland,199.98
501770,P006,Noise Cancelling Headphones,1,2023-11-25,129.99,10229,United Kingdom,129.99
501771,P006,Noise Cancelling Headphones,3,2023-11-06,129.99,10113,France,389.97
501772,P006,Noise Cancelling Headphones,1,2023-04-10,129.99,10358,Germany,129.99
501773,P005,Webcam,5,2023-12-09,49.99,10192,Belgium,249.95000000000002
501774,P004,Laptop Stand,5,2023-08-25,29.99,10027,Belgium,149.95
501775,P004,Laptop Stand,2,2023-08-04,29.99,10039,Italy,59.98
501776,P003,USB-C Cable,4,2023-10-01,9.99,10344,Belgium,39.96
501777,P003,USB-C Cable,3,2023-01-28,9.99,10218,Italy,29.97
501778,P002,Mechanical Keyboard,4,2023-05-29,79.99,10368,France,319.96
501779,P003,USB-C Cable,4,2023-11-06,9.99,10286,United Kingdom,39.96
501780,P004,Laptop Stand,1,2023-12-22,29.99,10153,Italy,29.99
501781,P006,Noise Cancelling Headphones,5,2023-09-09,129.99,10362,Netherlands,649.95
501782,P001,Wireless Mouse,3,2023-08-15,15.99,10056,United Kingdom,47.97
501783,P003,USB-C Cable,5,2023-11-09,9.99,10146,United Kingdom,49.95
501784,P002,Mechanical Keyboard,1,2023-04-28,79.99,10020,Belgium,79.99
501785,P003,USB-C Cable,2,2023-02-22,9.99,10473,Switzerland,19.98
501786,P007,Portable SSD,4,2023-10-30,99.99,10160,Switzerland,399.96
501787,P005,Webcam,5,2023-03-15,49.99,10372,Germany,249.95000000000002
501788,P006,Noise Cancelling Headphones,5,2023-06-14,129.99,10330,Italy,649.95
501789,P003,USB-C Cable,2,2023-12-03,9.99,10088,Spain,19.98
501790,P004,Laptop Stand,4,2023-05-18,29.99,10333,Netherlands,119.96
501791,P007,Portable SSD,3,2023-04-21,99.99,10225,Germany,299.96999999999997
501792,P008,Bluetooth Speaker,1,2023-09-25,39.99,10116,United Kingdom,39.99
501793,P005,Webcam,4,2023-01-24,49.99,10186,Spain,199.96
501794,P005,Webcam,5,2023-06-20,49.99,10055,Belgium,249.95000000000002
501795,P002,Mechanical Keyboard,1,2023-08-16,79.99,10124,Switzerland,79.99
501796,P001,Wireless Mouse,2,2023-07-07,15.99,10493,Spain,31.98
